PERIODO;MES;CODIGO_ESTABLECIMIENTO;ESTABLECIMIENTO;AREA_FUNCIONAL;INDICE_OCUPACIONAL_PREDICHO;VALOR_REAL
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;87.96;89.89
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;87.64;88.41
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;86.87;88.75
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;89.5;88.59
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;89.63;90.62
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;92.52;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;91.21;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;89.48;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;87.82;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;88.99;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;89.72;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intensivos Adultos;84.98;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;90.79;92.89
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;92.77;89.57
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;89.84;92.17
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;91.86;92.01
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;93.04;93.55
2026;6;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;93.44;
2026;7;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;92.65;
2026;8;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;92.73;
2026;9;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;91.1;
2026;10;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;91.6;
2026;11;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;89.61;
2026;12;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Cuidados Intermedios Adultos;84.87;
2026;1;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médica Adulto Cuidados Básicos;82.74;89.62
2026;2;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médica Adulto Cuidados Básicos;84.13;85.29
2026;3;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médica Adulto Cuidados Básicos;85.93;87.81
2026;4;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médica Adulto Cuidados Básicos;88.44;88.99
2026;5;113100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Área Médica Adulto Cuidados Básicos;88.0;91.59
